,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
69,"Sleigh Ride","The Ronettes",1111749,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX
70,Aventura,Lunay,1108462,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
71,"Mean It",Lauv,1100126,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
72,"It's You","Ali Gatie",1083275,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
73,"A Holly Jolly Christmas - Single Version","Burl Ives",1082737,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
74,"Ayy Macarena",Tyga,1081185,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
75,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",1073249,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
76,"Old Town Road - Remix","Lil Nas X",1058359,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
77,"lovely (with Khalid)","Billie Eilish",1041493,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
78,"Si Te Vas",Sech,1037973,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
79,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,1036608,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
80,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,1035681,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu
81,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",1027891,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
82,"Santa Claus Is Coming to Town","Michael Bublé",1023952,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
83,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",1021755,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
84,Quizas,"Rich Music LTD",1016536,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
85,"Up All Night",Khalid,1008431,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
86,Indeciso,Reik,998663,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
87,Shallow,"Lady Gaga",986699,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
88,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",983272,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
89,"when the party's over","Billie Eilish",978549,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
90,"Yo x Ti, Tu x Mi",ROSALÍA,967364,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
91,"LOYAL (feat. Drake)",PARTYNEXTDOOR,957739,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
92,"Hola - Remix",Dalex,952226,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
