,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
116,Señorita,"Shawn Mendes",1023318,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
117,Telepathy,BTS,1022795,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
118,"Deep End",Fousheé,1021768,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
119,"The Box","Roddy Ricch",1012221,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
120,Memories,"Maroon 5",1003308,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
121,"Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)","C. Tangana",991984,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
122,"Stuck with U (with Justin Bieber)","Ariana Grande",990077,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
123,"Recairei - Ao Vivo","Os Barões Da Pisadinha",988907,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
124,"La Jeepeta - Remix","Nio Garcia",981838,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
125,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",967459,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
126,"Adore You","Harry Styles",967421,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
127,Dis-ease,BTS,958091,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0
128,"Tyler Herro","Jack Harlow",951352,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
129,"Mi Cuarto","Jerry Di",950477,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
130,Robbery,"Juice WRLD",949727,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
131,"HIGHEST IN THE ROOM","Travis Scott",945592,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
132,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",942111,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
133,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",941130,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
134,Stay,BTS,938008,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz
135,"bad guy","Billie Eilish",933386,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
136,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",923854,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
137,Shallow,"Lady Gaga",917135,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
138,"How You Like That",BLACKPINK,911972,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
139,"Lovesick Girls",BLACKPINK,896150,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
140,Falling,"Trevor Daniel",895070,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
141,Tusa,"KAROL G",893764,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
142,Diamonds,"Sam Smith",893093,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
143,"La Luz",Sech,891564,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
144,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",886131,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
145,"Ice Cream (with Selena Gomez)",BLACKPINK,881558,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
146,"Have Yourself A Merry Little Christmas","Sam Smith",870622,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
147,"Jocelyn Flores",XXXTENTACION,868000,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
148,Believer,"Imagine Dragons",867447,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
149,"Say You Won't Let Go","James Arthur",865282,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
150,"Rain On Me (with Ariana Grande)","Lady Gaga",860925,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
151,"POPSTAR (feat. Drake)","DJ Khaled",858387,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
152,Falling,"Harry Styles",857488,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
153,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,856776,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
154,"If the World Was Ending - feat. Julia Michaels","JP Saxe",856228,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
155,Polvo,"Nicky Jam",854998,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
156,"All Girls Are The Same","Juice WRLD",843829,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
157,"my ex's best friend (with blackbear)","Machine Gun Kelly",842985,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
158,Caramelo,Ozuna,833593,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
159,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",826231,https://open.spotify.com/track/5GK1GYXH16RdfmltogHhAk
160,"Santa Claus Is Coming To Town","The Jackson 5",819776,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
161,"I CAN'T STOP ME",TWICE,819682,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
162,"Break My Heart","Dua Lipa",816805,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
163,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,814463,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
164,"Si Me Tomo Una Cerveza",Migrantes,810848,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
165,"SICKO MODE","Travis Scott",807165,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
166,Azul,"J Balvin",805672,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
167,ROXANNE,"Arizona Zervas",802809,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
168,"Hecha Pa' Mi",Boza,800288,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
169,"My Only Wish (This Year)","Britney Spears",797862,https://open.spotify.com/track/0YWUHZPJVg4iujddsJDwhM
170,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",796383,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
171,"Like It's Christmas","Jonas Brothers",791023,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv
172,"Blue Christmas","Elvis Presley",789122,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
173,"Thank God It's Christmas - Non-Album Single",Queen,788092,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
174,Jenny,"Studio Killers",787533,https://open.spotify.com/track/7lgA34nFXxjqQgyLkPUcLv
175,Dior,"Pop Smoke",787488,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
176,"everything i wanted","Billie Eilish",784544,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
177,"Life Is Good (feat. Drake)",Future,782956,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
178,Perfect,"Ed Sheeran",780015,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
179,Fever,"Dua Lipa",777030,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
180,"Mad at Disney","salem ilese",776646,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
181,"Step Into Christmas","Elton John",776462,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
182,"Plastic Hearts","Miley Cyrus",775627,https://open.spotify.com/track/6qCsKKS7Ol63SJW3LOIX5R
183,"Daddy Issues","The Neighbourhood",775593,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
184,Goosebumps,HVME,775574,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
