,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
91,Teeth,"5 Seconds of Summer",874931,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
92,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",873582,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
93,Believer,"Imagine Dragons",870273,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
94,"Without Me",Halsey,868372,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
95,VIBEZ,DaBaby,851444,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
96,Falling,"Trevor Daniel",842117,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
97,"Que Calor (with J Balvin & El Alfa)","Major Lazer",839743,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
98,"Otro Trago - Remix",Sech,839407,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
99,"If I Can't Have You","Shawn Mendes",838417,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
100,Wow.,"Post Malone",838211,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
101,"SICKO MODE","Travis Scott",835559,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
102,"rockstar (feat. 21 Savage)","Post Malone",833357,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
103,"Con Altura",ROSALÍA,832162,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
104,"Living Proof","Camila Cabello",826698,https://open.spotify.com/track/1jg9clsGCDqOumfS0X5xm9
105,"Last Christmas",Wham!,823543,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
106,"Say You Won't Let Go","James Arthur",817746,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
107,"Make It Right (feat. Lauv)",BTS,814257,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
108,"Only Human","Jonas Brothers",814129,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
109,"The London (feat. J. Cole & Travis Scott)","Young Thug",812205,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
110,Roller,"Apache 207",804319,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
111,"Shape of You","Ed Sheeran",804145,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
112,"QUE PRETENDES","J Balvin",797177,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
113,"Eastside (with Halsey & Khalid)","benny blanco",794086,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
114,I.F.L.Y.,Bazzi,789964,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
115,"Post Malone (feat. RANI)","Sam Feldt",789723,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
116,"Dancing With A Stranger (with Normani)","Sam Smith",787939,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
117,Motivation,Normani,786915,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
118,"Girls Like You (feat. Cardi B)","Maroon 5",784178,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
119,"thank u, next","Ariana Grande",780315,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
120,"Sweet but Psycho","Ava Max",773023,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
121,"Lucid Dreams","Juice WRLD",770876,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
122,VALENTINO,24kGoldn,770224,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
123,Perfect,"Ed Sheeran",766927,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
124,"Qué Pena",Maluma,765698,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
125,goosebumps,"Travis Scott",763436,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
126,"Enemies (feat. DaBaby)","Post Malone",763343,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
127,"Get You The Moon (feat. Snøw)",Kina,763290,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
128,July,"Noah Cyrus",761511,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
129,"Ballin' (with Roddy Ricch)",Mustard,759220,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
130,Orphans,Coldplay,758400,https://open.spotify.com/track/6muOWhMh7Tf0UFUtMDBhUR
131,"11 PM",Maluma,753878,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
132,"Talk (feat. Disclosure)",Khalid,751033,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
133,"If the World Was Ending - feat. Julia Michaels","JP Saxe",746388,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
134,"Be Alright","Dean Lewis",739572,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
135,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",734910,https://open.spotify.com/track/6zegtH6XXd2PDPLvy1Y0n2
136,Saint-Tropez,"Post Malone",732056,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
137,Lover,"Taylor Swift",730700,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
138,"You Need To Calm Down","Taylor Swift",728399,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
139,Suge,DaBaby,726464,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
140,"I Like Me Better",Lauv,726353,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
141,"bury a friend","Billie Eilish",721022,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
142,comethru,"Jeremy Zucker",716938,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
143,"Hollywood's Bleeding","Post Malone",716665,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
144,Youngblood,"5 Seconds of Summer",715424,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
145,Bellaquita,Dalex,714313,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
146,"boyfriend (with Social House)","Ariana Grande",714220,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
147,"3 Nights","Dominic Fike",712730,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
148,"Baby (Lil Baby feat. DaBaby)","Quality Control",709703,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
149,F.N,"Lil Tjay",708263,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
150,"Better Now","Post Malone",706359,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
151,"Let Me Down Slowly","Alec Benjamin",700619,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
152,"Hola - Remix",Dalex,696621,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
153,"Santa Tell Me","Ariana Grande",687912,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
154,Immortal,"21 Savage",682453,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq
155,"High Hopes","Panic! At The Disco",674546,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
156,Feelings,Lauv,672255,https://open.spotify.com/track/1cL3ucXzG2hj3XOUPIWdvZ
157,SAD!,XXXTENTACION,670030,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
158,"fuck 3x","tha Supreme",667376,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
159,"One Thing Right",Marshmello,664509,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
160,"Con Calma","Daddy Yankee",663023,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
161,"Too Good At Goodbyes","Sam Smith",662077,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
162,"All of Me","John Legend",659815,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
163,"Ayy Macarena",Tyga,658935,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
164,2002,Anne-Marie,653986,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
165,Juicy,"Doja Cat",653656,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
166,GIANTS,"True Damage",652836,https://open.spotify.com/track/5C0ivQMxes2lWuOANhvVAm
167,"MIDDLE CHILD","J. Cole",652202,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
168,"Never Really Over","Katy Perry",651570,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
169,"Make No Sense","YoungBoy Never Broke Again",650368,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
170,Photograph,"Ed Sheeran",648746,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
171,"Call You Mine (feat. Bebe Rexha)","The Chainsmokers",646910,https://open.spotify.com/track/6IJTc8xo6XasOU8fpxMU57
172,"Bad To You (with Normani & Nicki Minaj)","Ariana Grande",646367,https://open.spotify.com/track/7vJS1DPc3FzBtqBs8n3mW5
173,"Gan-Ga - Remix","Bryant Myers",641012,https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g
174,"Turn Me On (feat. Vula)",Riton,640366,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
175,"SLOW DANCING IN THE DARK",Joji,640059,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
176,"Calma - Remix","Pedro Capó",636248,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
177,"Hasta Que Salga el Sol",Ozuna,634644,https://open.spotify.com/track/6ofuqm2qLMi9lBFEF9mJMb
178,Thunder,"Imagine Dragons",633413,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
179,"Jocelyn Flores",XXXTENTACION,631251,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
180,"Don't Stop Me Now - Remastered 2011",Queen,629031,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
181,"Something Just Like This","The Chainsmokers",628954,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
182,"i love you","Billie Eilish",628161,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
183,"all the good girls go to hell","Billie Eilish",625898,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
184,Better,Khalid,625421,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
185,"The Less I Know The Better","Tame Impala",621514,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
186,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",619371,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
187,"Can We Kiss Forever?",Kina,618145,https://open.spotify.com/track/1Av69kr9JitqPWo7WJLS5q
188,Outnumbered,"Dermot Kennedy",616364,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
189,"Rescue Me",OneRepublic,614255,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
190,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dímelo Flow",613315,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
191,"Pa' Olvidarme De Ella","Piso 21",610951,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
192,"Te Quemaste","Manuel Turizo",610890,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
193,"Another One Bites The Dust - Remastered 2011",Queen,607100,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
194,Blanco,"J Balvin",602871,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
195,"Si Se Da - Remix","Myke Towers",602691,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
196,"wish you were gay","Billie Eilish",601724,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
197,Moonlight,XXXTENTACION,601198,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
198,"Wonderwall - Remastered",Oasis,600642,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
199,"Going Bad (feat. Drake)","Meek Mill",599690,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
200,idontwannabeyouanymore,"Billie Eilish",598194,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
